id,label
Saturday-Cruelty To Animals,Saturday-Cruelty To Animals
Friday-Intimate Partner - Simple Assault,Friday-Intimate Partner - Simple Assault
Sunday-Robbery,Sunday-Robbery
"Friday-Bunco, Petty Theft","Friday-Bunco, Petty Theft"
Thursday-Resisting Arrest,Thursday-Resisting Arrest
"Saturday-Credit Cards, Fraud Use ($950.01 & Over)","Saturday-Credit Cards, Fraud Use ($950.01 & Over)"
Friday-Kidnapping,Friday-Kidnapping
Tuesday-False Police Report,Tuesday-False Police Report
Sunday-Criminal Homicide,Sunday-Criminal Homicide
Sunday-Shoplifting-Grand Theft ($950.01 & Over),Sunday-Shoplifting-Grand Theft ($950.01 & Over)
Friday-Disturbing The Peace,Friday-Disturbing The Peace
Friday-Contempt Of Court,Friday-Contempt Of Court
Sunday-Illegal Dumping,Sunday-Illegal Dumping
"Wednesday-Assault With Deadly Weapon, Aggravated Assault","Wednesday-Assault With Deadly Weapon, Aggravated Assault"
"Wednesday-Sex, Unlawful","Wednesday-Sex, Unlawful"
Sunday-Violation Of Temporary Restraining Order,Sunday-Violation Of Temporary Restraining Order
Thursday-Theft From Person - Attempt,Thursday-Theft From Person - Attempt
Friday-Intimate Partner - Aggravated Assault,Friday-Intimate Partner - Aggravated Assault
Thursday-Shoplifting - Petty Theft ($950 & Under),Thursday-Shoplifting - Petty Theft ($950 & Under)
"Sunday-Sex, Unlawful","Sunday-Sex, Unlawful"
Saturday-Shoplifting - Petty Theft ($950 & Under),Saturday-Shoplifting - Petty Theft ($950 & Under)
Sunday-Arson,Sunday-Arson
Thursday-Pimping,Thursday-Pimping
Thursday-Document Forgery / Stolen Felony,Thursday-Document Forgery / Stolen Felony
Wednesday-Throwing Object At Moving Vehicle,Wednesday-Throwing Object At Moving Vehicle
Friday-Sodomy/Sexual Contact B/W Penis Of One Pers To Anus Oth 0007=02,Friday-Sodomy/Sexual Contact B/W Penis Of One Pers To Anus Oth 0007=02
Friday-Unknown,Friday-Unknown
Saturday-Other Miscellaneous Crime,Saturday-Other Miscellaneous Crime
Sunday-Violation Of Court Order,Sunday-Violation Of Court Order
Monday-Shots Fired At Inhabited Dwelling,Monday-Shots Fired At Inhabited Dwelling
"Sunday-Defrauding Innkeeper/Theft Of Services, $400 & Under","Sunday-Defrauding Innkeeper/Theft Of Services, $400 & Under"
Wednesday-Child Stealing,Wednesday-Child Stealing
"Friday-Shots Fired At Moving Vehicle, Train Or Aircraft","Friday-Shots Fired At Moving Vehicle, Train Or Aircraft"
Sunday-Theft Plain - Petty ($950 & Under),Sunday-Theft Plain - Petty ($950 & Under)
Saturday-Shoplifting-Grand Theft ($950.01 & Over),Saturday-Shoplifting-Grand Theft ($950.01 & Over)
Sunday-Bike - Stolen,Sunday-Bike - Stolen
Wednesday-Violation Of Restraining Order,Wednesday-Violation Of Restraining Order
Tuesday-Assault With Deadly Weapon On Police Officer,Tuesday-Assault With Deadly Weapon On Police Officer
Monday-Illegal Dumping,Monday-Illegal Dumping
"Friday-Rape, Forcible","Friday-Rape, Forcible"
Saturday-Burglary From Vehicle,Saturday-Burglary From Vehicle
Thursday-Child Neglect (See 300 W.I.C.),Thursday-Child Neglect (See 300 W.I.C.)
Wednesday-Kidnapping,Wednesday-Kidnapping
Saturday-Intimate Partner - Simple Assault,Saturday-Intimate Partner - Simple Assault
"Sunday-Assault With Deadly Weapon, Aggravated Assault","Sunday-Assault With Deadly Weapon, Aggravated Assault"
"Wednesday-Theft, Person","Wednesday-Theft, Person"
Saturday-Child Annoying (17Yrs & Under),Saturday-Child Annoying (17Yrs & Under)
Wednesday-Theft Plain - Petty ($950 & Under),Wednesday-Theft Plain - Petty ($950 & Under)
Tuesday-Pickpocket,Tuesday-Pickpocket
Saturday-Child Stealing,Saturday-Child Stealing
"Tuesday-Bunco, Petty Theft","Tuesday-Bunco, Petty Theft"
Monday-Cruelty To Animals,Monday-Cruelty To Animals
Friday-Till Tap - Petty ($950 & Under),Friday-Till Tap - Petty ($950 & Under)
Tuesday-Stalking,Tuesday-Stalking
Monday-Prowler,Monday-Prowler
Saturday-Vandalism - Misdeameanor ($399 Or Under),Saturday-Vandalism - Misdeameanor ($399 Or Under)
"Wednesday-Bunco, Petty Theft","Wednesday-Bunco, Petty Theft"
Thursday-Kidnapping - Grand Attempt,Thursday-Kidnapping - Grand Attempt
Sunday-Theft From Motor Vehicle - Grand ($400 And Over),Sunday-Theft From Motor Vehicle - Grand ($400 And Over)
Wednesday-Battery - Simple Assault,Wednesday-Battery - Simple Assault
Thursday-Crm Agnst Chld (13 Or Under) (14-15 & Susp 10 Yrs Older)0060,Thursday-Crm Agnst Chld (13 Or Under) (14-15 & Susp 10 Yrs Older)0060
Saturday-Battery With Sexual Contact,Saturday-Battery With Sexual Contact
Wednesday-Other Miscellaneous Crime,Wednesday-Other Miscellaneous Crime
Wednesday-Criminal Homicide,Wednesday-Criminal Homicide
Thursday-Sodomy/Sexual Contact B/W Penis Of One Pers To Anus Oth 0007=02,Thursday-Sodomy/Sexual Contact B/W Penis Of One Pers To Anus Oth 0007=02
Saturday-Criminal Homicide,Saturday-Criminal Homicide
Monday-Assault With Deadly Weapon On Police Officer,Monday-Assault With Deadly Weapon On Police Officer
Friday-Arson,Friday-Arson
Tuesday-Contempt Of Court,Tuesday-Contempt Of Court
Tuesday-Trespassing,Tuesday-Trespassing
Thursday-Battery Police (Simple),Thursday-Battery Police (Simple)
"Tuesday-Burglary, Attempted","Tuesday-Burglary, Attempted"
Friday-Crm Agnst Chld (13 Or Under) (14-15 & Susp 10 Yrs Older)0060,Friday-Crm Agnst Chld (13 Or Under) (14-15 & Susp 10 Yrs Older)0060
Tuesday-Document Forgery / Stolen Felony,Tuesday-Document Forgery / Stolen Felony
Tuesday-Sexual Pentration With A Foreign Object,Tuesday-Sexual Pentration With A Foreign Object
Friday-Conspiracy,Friday-Conspiracy
Friday-Indecent Exposure,Friday-Indecent Exposure
"Monday-Burglary, Attempted","Monday-Burglary, Attempted"
Tuesday-Indecent Exposure,Tuesday-Indecent Exposure
"Tuesday-Bunco, Attempt","Tuesday-Bunco, Attempt"
Wednesday-Purse Snatching,Wednesday-Purse Snatching
Friday-False Imprisonment,Friday-False Imprisonment
Sunday-Vandalism - Misdeameanor ($399 Or Under),Sunday-Vandalism - Misdeameanor ($399 Or Under)
Thursday-Shots Fired At Inhabited Dwelling,Thursday-Shots Fired At Inhabited Dwelling
Sunday-Lynching,Sunday-Lynching
Monday-Battery - Simple Assault,Monday-Battery - Simple Assault
Friday-Extortion,Friday-Extortion
"Monday-Theft-Grand ($950.01 & Over)Excpt,Guns,Fowl,Livestk,Prod0036","Monday-Theft-Grand ($950.01 & Over)Excpt,Guns,Fowl,Livestk,Prod0036"
Friday-Shoplifting-Grand Theft ($950.01 & Over),Friday-Shoplifting-Grand Theft ($950.01 & Over)
Saturday-Theft From Person - Attempt,Saturday-Theft From Person - Attempt
"Saturday-Defrauding Innkeeper/Theft Of Services, $400 & Under","Saturday-Defrauding Innkeeper/Theft Of Services, $400 & Under"
Friday-Other Assault,Friday-Other Assault
Thursday-Pickpocket,Thursday-Pickpocket
Monday-Stalking,Monday-Stalking
Monday-Other Assault,Monday-Other Assault
"Wednesday-Burglary, Attempted","Wednesday-Burglary, Attempted"
Tuesday-Kidnapping,Tuesday-Kidnapping
"Wednesday-Burglary From Vehicle, Attempted","Wednesday-Burglary From Vehicle, Attempted"
Wednesday-Unknown,Wednesday-Unknown
Tuesday-Vandalism - Misdeameanor ($399 Or Under),Tuesday-Vandalism - Misdeameanor ($399 Or Under)
Thursday-Cruelty To Animals,Thursday-Cruelty To Animals
"Monday-Embezzlement, Grand Theft ($950.01 & Over)","Monday-Embezzlement, Grand Theft ($950.01 & Over)"
Wednesday-Child Abuse (Physical) - Simple Assault,Wednesday-Child Abuse (Physical) - Simple Assault
"Thursday-Bunco, Petty Theft","Thursday-Bunco, Petty Theft"
"Thursday-Burglary From Vehicle, Attempted","Thursday-Burglary From Vehicle, Attempted"
"Friday-Embezzlement, Grand Theft ($950.01 & Over)","Friday-Embezzlement, Grand Theft ($950.01 & Over)"
Wednesday-Battery With Sexual Contact,Wednesday-Battery With Sexual Contact
Saturday-Violation Of Temporary Restraining Order,Saturday-Violation Of Temporary Restraining Order
Thursday-Child Annoying (17Yrs & Under),Thursday-Child Annoying (17Yrs & Under)
Saturday-Bike - Stolen,Saturday-Bike - Stolen
Sunday-Cruelty To Animals,Sunday-Cruelty To Animals
Monday-Failure To Yield,Monday-Failure To Yield
Wednesday-Indecent Exposure,Wednesday-Indecent Exposure
Tuesday-Prowler,Tuesday-Prowler
Friday-Trespassing,Friday-Trespassing
Sunday-Driving Without Owner Consent (Dwoc),Sunday-Driving Without Owner Consent (Dwoc)
Friday-Attempted Robbery,Friday-Attempted Robbery
Monday-Vehicle - Stolen,Monday-Vehicle - Stolen
"Tuesday-Embezzlement, Petty Theft ($950 & Under)","Tuesday-Embezzlement, Petty Theft ($950 & Under)"
Wednesday-Lynching - Attempted,Wednesday-Lynching - Attempted
Wednesday-Other Assault,Wednesday-Other Assault
"Saturday-Assault With Deadly Weapon, Aggravated Assault","Saturday-Assault With Deadly Weapon, Aggravated Assault"
Friday-Brandish Weapon,Friday-Brandish Weapon
"Saturday-Embezzlement, Grand Theft ($950.01 & Over)","Saturday-Embezzlement, Grand Theft ($950.01 & Over)"
Sunday-Pickpocket,Sunday-Pickpocket
Sunday-Intimate Partner - Simple Assault,Sunday-Intimate Partner - Simple Assault
Tuesday-Extortion,Tuesday-Extortion
"Sunday-Rape, Attempted","Sunday-Rape, Attempted"
"Saturday-Bunco, Grand Theft","Saturday-Bunco, Grand Theft"
"Saturday-Burglary From Vehicle, Attempted","Saturday-Burglary From Vehicle, Attempted"
Friday-Theft Of Identity,Friday-Theft Of Identity
"Sunday-Rape, Forcible","Sunday-Rape, Forcible"
Thursday-Assault With Deadly Weapon On Police Officer,Thursday-Assault With Deadly Weapon On Police Officer
"Saturday-Sex, Unlawful","Saturday-Sex, Unlawful"
Wednesday-Sexual Pentration With A Foreign Object,Wednesday-Sexual Pentration With A Foreign Object
"Thursday-Sex, Unlawful","Thursday-Sex, Unlawful"
Monday-Child Annoying (17Yrs & Under),Monday-Child Annoying (17Yrs & Under)
Monday-Disturbing The Peace,Monday-Disturbing The Peace
Thursday-Sexual Pentration With A Foreign Object,Thursday-Sexual Pentration With A Foreign Object
Wednesday-Theft Of Identity,Wednesday-Theft Of Identity
Wednesday-Child Neglect (See 300 W.I.C.),Wednesday-Child Neglect (See 300 W.I.C.)
"Friday-Credit Cards, Fraud Use ($950.01 & Over)","Friday-Credit Cards, Fraud Use ($950.01 & Over)"
Thursday-Trespassing,Thursday-Trespassing
Wednesday-Intimate Partner - Simple Assault,Wednesday-Intimate Partner - Simple Assault
Thursday-Child Abuse (Physical) - Aggravated Assault,Thursday-Child Abuse (Physical) - Aggravated Assault
Saturday-Sexual Pentration With A Foreign Object,Saturday-Sexual Pentration With A Foreign Object
Friday-Contributing,Friday-Contributing
"Sunday-Bunco, Grand Theft","Sunday-Bunco, Grand Theft"
Sunday-Attempted Robbery,Sunday-Attempted Robbery
Monday-Unauthorized Computer Access,Monday-Unauthorized Computer Access
Monday-Shoplifting - Petty Theft ($950 & Under),Monday-Shoplifting - Petty Theft ($950 & Under)
Tuesday-Petty Theft - Auto Repair,Tuesday-Petty Theft - Auto Repair
Saturday-Child Abuse (Physical) - Aggravated Assault,Saturday-Child Abuse (Physical) - Aggravated Assault
Friday-Boat - Stolen,Friday-Boat - Stolen
Wednesday-Child Abuse (Physical) - Aggravated Assault,Wednesday-Child Abuse (Physical) - Aggravated Assault
Saturday-Extortion,Saturday-Extortion
Friday-Robbery,Friday-Robbery
"Wednesday-Letters, Lewd","Wednesday-Letters, Lewd"
Saturday-Pickpocket,Saturday-Pickpocket
Saturday-Discharge Firearms/Shots Fired,Saturday-Discharge Firearms/Shots Fired
Saturday-Arson,Saturday-Arson
Monday-Trespassing,Monday-Trespassing
Saturday-Intimate Partner - Aggravated Assault,Saturday-Intimate Partner - Aggravated Assault
Sunday-Theft From Person - Attempt,Sunday-Theft From Person - Attempt
Saturday-Child Neglect (See 300 W.I.C.),Saturday-Child Neglect (See 300 W.I.C.)
Thursday-Violation Of Restraining Order,Thursday-Violation Of Restraining Order
"Monday-Theft, Person","Monday-Theft, Person"
Monday-Intimate Partner - Simple Assault,Monday-Intimate Partner - Simple Assault
Friday-Criminal Threats - No Weapon Displayed,Friday-Criminal Threats - No Weapon Displayed
Tuesday-Theft From Motor Vehicle - Attempt,Tuesday-Theft From Motor Vehicle - Attempt
Thursday-Throwing Object At Moving Vehicle,Thursday-Throwing Object At Moving Vehicle
Thursday-Lewd Conduct,Thursday-Lewd Conduct
Saturday-Document Worthless ($200.01 & Over),Saturday-Document Worthless ($200.01 & Over)
Wednesday-Theft From Motor Vehicle - Petty ($950 & Under),Wednesday-Theft From Motor Vehicle - Petty ($950 & Under)
Thursday-Burglary,Thursday-Burglary
Wednesday-Shots Fired At Inhabited Dwelling,Wednesday-Shots Fired At Inhabited Dwelling
Saturday-Battery Police (Simple),Saturday-Battery Police (Simple)
Sunday-Sexual Pentration With A Foreign Object,Sunday-Sexual Pentration With A Foreign Object
Tuesday-Attempted Robbery,Tuesday-Attempted Robbery
Saturday-Unauthorized Computer Access,Saturday-Unauthorized Computer Access
Monday-Vandalism - Misdeameanor ($399 Or Under),Monday-Vandalism - Misdeameanor ($399 Or Under)
Tuesday-Robbery,Tuesday-Robbery
Wednesday-Burglary,Wednesday-Burglary
Thursday-Theft From Motor Vehicle - Attempt,Thursday-Theft From Motor Vehicle - Attempt
Saturday-Trespassing,Saturday-Trespassing
Friday-Threatening Phone Calls/Letters,Friday-Threatening Phone Calls/Letters
Friday-Theft From Motor Vehicle - Petty ($950 & Under),Friday-Theft From Motor Vehicle - Petty ($950 & Under)
Wednesday-Trespassing,Wednesday-Trespassing
Tuesday-Purse Snatching,Tuesday-Purse Snatching
Saturday-Kidnapping - Grand Attempt,Saturday-Kidnapping - Grand Attempt
Thursday-Arson,Thursday-Arson
Saturday-Oral Copulation,Saturday-Oral Copulation
Friday-Other Miscellaneous Crime,Friday-Other Miscellaneous Crime
Tuesday-Brandish Weapon,Tuesday-Brandish Weapon
Monday-Attempted Robbery,Monday-Attempted Robbery
Wednesday-Child Annoying (17Yrs & Under),Wednesday-Child Annoying (17Yrs & Under)
Thursday-Theft Plain - Petty ($950 & Under),Thursday-Theft Plain - Petty ($950 & Under)
Wednesday-Violation Of Court Order,Wednesday-Violation Of Court Order
"Saturday-Letters, Lewd","Saturday-Letters, Lewd"
Monday-Extortion,Monday-Extortion
Wednesday-Document Forgery / Stolen Felony,Wednesday-Document Forgery / Stolen Felony
Sunday-Contributing,Sunday-Contributing
Sunday-Theft Plain - Attempt,Sunday-Theft Plain - Attempt
Saturday-Violation Of Court Order,Saturday-Violation Of Court Order
Thursday-Brandish Weapon,Thursday-Brandish Weapon
